komentar,label
mengapa kristen memiliki tuhan yang berbeda dengan islam dan yahudi pertanyaan ini sangat penting dan jawabannya bukan sekadar kristen punya tuhan lain tetapi cara kristen memahami tuhan berubah dari ajaran para nabi sebelumnya sehingga berbeda dari konsep ketuhanan islam dan yahudi mari kita jelaskan dengan jernih netral dan historis 1 islam dan yahudi tuhan tunggal yang mutlak esa baik islam maupun yahudi sepakat bahwa tuhan adalah satu esa tidak beranak tidak diperanakkan dan tidak berinkarnasi yahudi menyebut tuhan sebagai yhwh islam menyebut tuhan sebagai allah keduanya tegas menolak gagasan bahwa tuhan menjadi manusia atau memiliki bagian bagian pribadi ini disebut tauhid dalam islam dan akhid dalam yahudi 2 kristen mengubah konsep ketuhanan lewat doktrin trinitas di sinilah letak perbedaannya kristen tidak lagi memahami tuhan sebagai satu pribadi yang tunggal tetapi sebagai tiga pribadi dalam satu tuhan 1 bapa 1 putra yesus 1 roh kudus konsep ini tidak terdapat dalam taurat tidak diajarkan oleh para nabi yahudi dan tidak diajarkan oleh yesus secara eksplisit doktrin resmi trinitas ditetapkan oleh gereja dalam konsili nicea tahun 325 m ratusan tahun setelah musa dan bahkan setelah yesus wafat jadi kristen tidak memakai konsep tuhan yang sama seperti islam dan yahudi karena kristen menambahkan doktrin baru yang tidak ada pada agama ibrahim asli 3 tiga perbedaan besar kristen vs islam yahudi 1 inkarnasi tuhan menjadi manusia kristen yesus adalah tuhan yang menjelma yahudi mustahil islam mustahil 2 anak tuhan kristen yesus anak tuhan dalam arti literal teologis islam yahudi tuhan tidak punya anak 3 penebusan dosa kristen tuhan menebus dosa manusia dengan kematian yesus islam yahudi dosa ditebus dengan taubat bukan dengan darah manusia atau dewa yang mati karena perbedaan mendasar ini kristen akhirnya tidak lagi sejalan dengan konsep ketuhanan ibrahim yang asli 4 analogi mudah bayangkan satu keluarga besar yang punya ajaran asli dua saudara islam yahudi tetap mempertahankan ajaran asli tentang ayahnya anak ketiga kristen menambahkan keyakinan bahwa ayah mereka mempunyai bentuk ganda dan pernah menjadi manusia anak anak yang lain berkata itu bukan ayah yang kami kenal 5 kesimpulan mengapa kristen memiliki tuhan berbeda karena kristen menambahkan doktrin trinitas menyembah yesus sebagai tuhan memasukkan konsep anak tuhan dan ajaran ini tidak diakui dalam yahudi maupun islam sehingga secara teologis tuhan kristen tuhan yahudi dan islam walaupun mereka mengklaim berakar pada abraham sumber cgpt,bukan_cyberbullying
mikana sudah yakini saja yesus sebagai tuhan percuma diskusi dengan bang zuma,bukan_cyberbullying
bagus sekali pertanyaan mikana membimbing orang untuk mualaf tuhan yakub satu tuhan semesta alam mazmur 24 10 siapakah dia itu raja kemuliaan tuhan semesta alam dialah raja kemuliaan mazmur 46 8 atau 46 7 versi lain tuhan semesta alam menyertai kita allah yakub adalah tempat perlindungan kita mazmur 46 12 atau 46 11 tuhan semesta alam menyertai kita allah yakub adalah tempat perlindungan kita mazmur 59 6 atau 59 5 engkau tuhan semesta alam allah israel dari zaman adam sampai hari kiamat tuhan semesta alam cuma satu hanya dia yg pantas disembah,bukan_cyberbullying
masyallah bg zuma cukup cerdas n rakan sht sllu senantiasa dlm lindungan allah swt aamiin,bukan_cyberbullying
mikana allah swt itu bahasa arab sebutan untuk sang khalik bagi umat islam bagi yahudi yang merupakan keturunan bani israel mereka menyebutnya elohim ini entitas yang sama islam dan yahudi memiliki kesepakatan dan pemahaman yang sama mereka hanya tidak sepakat siapa yang terpilih sedangkan kristen menyembah yesus sebagai tuhan yesus yang diciptakan oleh allah swt atau elohim,bukan_cyberbullying
penciptaan alam semesta menurut al qur an dalam 6 hari para ulama menafsirkan 6 hari ini bukan 24 jam tetapi tahapan karena matahari bumi belum ada sebelum penciptaan hari pertama berikut urutan berdasarkan rangkaian ayat dari berbagai surah hari 1 penciptaan langit dan bumi dalam keadaan kabut asap dalil qs fussilat 41 11 al qur an menyatakan bahwa langit pada awalnya dukhan asap kabut kosmik pada tahap ini allah menciptakan materi dasar alam semesta menjadikan langit dan bumi masih berupa gumpalan belum berbentuk qs al anbiya 21 30 makna fase awal kosmos mirip primordial cloud hari 2 penataan awal langit pemisahan dari bumi allah mulai memisahkan langit dan bumi menetapkan ketetapan atas langit qs fussilat 41 11 12 langit mulai dibentuk menjadi tujuh lapis tetapi belum sempurna hari 3 pembentukan bumi dan penetapan gunung gunung dalil qs fussilat 41 9 10 pada tahap ini allah menetapkan bumi menjadikan gunung gunung menentukan ukuran ukuran bumi menentukan bahan bahan rezeki potensi mineral air tumbuhan tahapan bumi disempurnakan dalam dua hari termasuk tahap ke 2 sebelumnya menurut ulama tafsir hari 4 penciptaan rezeki takaran serta penataan bumi masih dalam ayat yang sama allah menetapkan susunan ekologi bumi rezeki yang disesuaikan untuk penghuninya hewan manusia tumbuhan persiapan bumi untuk kehidupan ini melengkapi dua hari penciptaan bumi total 4 hari hari 2 4 hari 5 penyempurnaan tujuh langit dalil qs fussilat 41 12 allah menyempurnakan tujuh lapis langit menetapkan hukum hukum alam di setiap langit menyusun struktur kosmik hari 6 penciptaan cahaya matahari bulan dan bintang dalil qs fusshilat 41 12 qs nuh 71 15 16 allah menciptakan matahari sumber cahaya bulan bintang hiasan langit dunia orbit orbit benda langit ini menandai selesainya 6 hari penciptaan,bukan_cyberbullying
mikunus ini pura tidak tau penjelasan nya gurunda krn ingin mencari cacat nya alqur an,pelecehan_penghinaan
dasar orang bodoh pura pura tidak ngerti,pelecehan_penghinaan
nabi isa ada diceritakan dlm alquran mengutuk laknat utk bani israel lu ina l adhiyna kafaruw min baniy israiyla al lisani dawda wa iysa bni maryama dhlika bima a aw w akanuw ya taduwna 78 orang orang kafir dari bani israil telah dilaknat melalui lisan ucapan dawud dan isa putra maryam yang demikian itu karena mereka durhaka dan selalu melampaui batas qs almaidah ayat 78 mungkin sama deng kutipan bang zuma yg mengutip matius 23 satu perikop tth yesus yg mengutuk menyebut mrk celaka untuk bani israel gara2 ucapan para nabi nabi daud dan nabi isa ini bani israel yg kafir dilaknat oleh allah,bukan_cyberbullying
kalau ndak menipu bukan pengikut paulus sejati,ujaran_kebencian
bang zuma mau menerangkan apapun tak akan masuk ke akal pikiran mereka sesungguhnya meraka orang orang fasik bang zuma menerangkan tuhan yang sesungguhnya tapi mereka mengingkari sesungguhnya mereka adalah orang orang yg musrik,ujaran_kebencian
allah mengutus nabi2 sesuai bahasa kaumnya masing2 mungkin sebutan gelar allah sebagai elohim hansyem adonai itu sebutan kpd allah oleh orang2 israel ini dalil qs ibrahim 4 wama arsalna min r asuwlin il a bilisani qawmih liyubay ina lahum fayu il u ll hu man y ashau wayahdiy man y ashau wahuwa l aziyzu l akiymu 4 dan kami tidak mengutus seorang rasul pun melainkan dengan bahasa kaumnya agar dia dapat memberi penjelasan kepada mereka maka allah menyesatkan siapa yang dia kehendaki dan memberi petunjuk kepada siapa yang dia kehendaki dia yang mahaperkasa mahabijaksana,bukan_cyberbullying
selamat hari mualaf sedunia,bukan_cyberbullying
semua nabi dan rasull mengakui allah adalah sang pencipta mikhana botoll,pelecehan_penghinaan
michana botol tidak ada dikitab org yahudi bahwa yahwe pencipta alam semesta,bukan_cyberbullying
kebenaran hanya ada di dlm ajaran islam,bukan_cyberbullying
mbak mikhana akal sesungguhnya hati nurani yg jujur,bukan_cyberbullying
termasuk mikanapun nanti akan direbus dlm tin ja yg mendidih klao tetap dlm kekafiran,ancaman_intimidasi
mikana hati mu masih membatu keras yg membuat logika mu beku mangkanya logika mu masih terus menolak kebenaran isi al qur an kalimatullah jadi andalah yang disebut yang tertolak,pelecehan_penghinaan
zulkifli m abas dipanggil bang zuma,bukan_cyberbullying
alhamdulillah a u a i a a a i i a u a in a a a i a i i a mu ama din tim ust zuma api emang terbaik alhamdulillah moga tim ust zuma api sentiasa dalam rahmat dan perlindungan allah insyaa allah aamiin,bukan_cyberbullying
suka banget sama eps ini bintang emon keren,bukan_cyberbullying
alloh yg menghidupkan apa ada kecualinya kita semua di tentukan alloh,bukan_cyberbullying
dri smua jawaban cmn bintang emon yg agak masuk akal dri pd yg lain,bukan_cyberbullying
kadang lihat reymond agak2 mirip kenny austin,bukan_cyberbullying
35 lebih sekian ustadz dalam al qur an minimal ada 2 ayat 1 allah tidak akan merubah nasib suatu kaum kecuali kaum itu sendiri yang merubahnya 2 maka bertebaranlah kamu untuk mencari rejeki maaf lupa ayatnya dan suratnya,bukan_cyberbullying
semoga oten oten mendengar kejelasan yuhanis lukas dari bang zuma,bukan_cyberbullying
semoga bang juma selalu di berikan kesehtan insyah allah selalu di berikan kemudahan salutt sama bang juma aminn aminn allah huma aminn yra,bukan_cyberbullying
kematian itu bang zuma blh merujuk peristiwa israk mikraj rasulullah ditemani malaikat jibril diperlihatkan siksaan neraka dari peristiwa itulah rasulullah berdoa agar umatnya terhindar dari siksa neraka dan datanya ada allah ceritakan di quran surah al hijr ayat 43 janji jahanam surah al muddathir ayat 31 tentang penjaga neraka dan ayat2 lain yg menggambarkan azabnya salam seislam dari malaysia,bukan_cyberbullying
bengkulu hadir sungguh ustad keren dan pemberani,bukan_cyberbullying
yg di rindukan oleh sang pencpta adalah orang islam bkn oten,ujaran_kebencian
sebenarnya mereka mengikuti iblis tapi gengsi,ujaran_kebencian
bqbg sumah keren,bukan_cyberbullying
masya allah jika keimanan ada di dalam dada kita maka kita percaya dengan semua janji allah swt sehat selalu ustadz,bukan_cyberbullying
sekarang penebusan dosa masih berlaku apa ngak ya,bukan_cyberbullying
assalamu alaikum warahmatullahi wabarakatuh salam satu tuhan allahu akbar wassalam,bukan_cyberbullying
masaallhtabarikllh sangat tertarik dg bapak ini sehat selalu,bukan_cyberbullying
percuma menjelaskan pada mereka mereka telinganya sdh di tutup oleh mereka tetap dungu,pelecehan_penghinaan
top markotop cerdas bnget bang zuma dr kemren sy sering nonton berharap ada jawaban2 yg logis sperti ini dan bgtu luas ilmunya krunia allah swt,bukan_cyberbullying
zuma menguasai banget,bukan_cyberbullying
kami cuma mendoakan bg zuma dan sodara kita yg bertanya wanita birawati ini lanjut bg zuma apa saja yg akan di jelaskan birawati ini,bukan_cyberbullying
bgmna menurut bg zuma ada suatu klmpok yg suka teriak2 wahabi yg menyalah2kan wahabi suka membid ah2kan dgn mengatakan ketika rasulullah masih hidup rasulullah dan sahabat tidak ada menulis mushaf sedangkan dalam hadits nabi sahabat ada menulis mushaf ketika nabi masih hidup bgmana pendapat bg zuma,bukan_cyberbullying
masyaallah penjelasan bg zuma sangat jelas dan mudah di pahami semoga bg zuma senantiasa sehaat selalu amin,bukan_cyberbullying
dari ntt bang jumaa sangat logis seng ada lwang katong basudara,bukan_cyberbullying
betul bang jawaban bang zuma betul seratus persen,bukan_cyberbullying
salam semangat terus dalam meneruskan menyiarkan agama islam yg telah dibawa oleh kanjeng nabi muhammad saw semoga tetap amanah melurus kan menyiarkan kebenaran dalam islam,bukan_cyberbullying
ini sptnya sama olan,bukan_cyberbullying
barokalloh bang zuma lanjutkan dalam memberi petunjuk kebenaran semoga dibarengi ridho alloh subhanahu wata ala aminn,bukan_cyberbullying
mantapbang zuma,bukan_cyberbullying
medan hadir,bukan_cyberbullying
janganlah percaya omongannya hanya dongeng belaka bohong itu,pelecehan_penghinaan
sadarlah wahai saudaraku kristen dari apa yg dicerahkan oleh ustadz zuma sblm engkau meninggal bertobatlah,ujaran_kebencian
katanya ajaran islam baik tapi kalau denger bangun gereja panik sampai ngak bisa tidur dasar kadrun,ujaran_kebencian
betul tu bzuma kata oten yesus lahir di kndag domba betul kh itu b zum,bukan_cyberbullying
semoga orag yag bsrdakwah mnjalan kn kebenatan sma si oten allah membalas pahala ya brlipat ganda dri allah swt aamiin,bukan_cyberbullying
allah huakbar mga lancar dakwah nya biar oten mualaf msuk islam,bukan_cyberbullying
allah hualbar,bukan_cyberbullying
aslmkm ww,bukan_cyberbullying
subhanallah bang zuma,bukan_cyberbullying
klo yesus itu tuhan gmn dia bs ciptain langit bumi seisinya sedangkan isa yesus manusia logikanya d mn kasian orng kristen agama ciptaan paulus,ujaran_kebencian
subhanalloh adem banget denger penjelasaan bang suma,bukan_cyberbullying
subhanalloh sehat terus bang zuma dan team,bukan_cyberbullying
menit 39 43 kocak bang,bukan_cyberbullying
yang banyak membunuh manusia adalah orang kristen contoh negara negara penjajah yang agamanya mayoritas kristen dan amerika serikat dimana ada negara konflik dan berperang disitu ada amerika serikat di vietnam irak afganistan iran libia suriah lebanon mesir palestina dll berapa juta manusia yang terbunuh,ujaran_kebencian
knapa pula nabi isa tuhan sedang nabi isa di lahir kan ibu nya nabi isa tu manusis cuma nabi isa eggak ada bapa soal eggak ada bapa tu kkuasaan allah nabi adam aja bisa di cipta kan allah hawa tu kkuasaan allah apa aja kehendak allah smua bisa sedang bumi langit dan bumi serta isi dunia ni allah bisa cipta kan di cipta kan allah ikan sayuran air bulan bintang matahari hari ni semua yg di cipta kan allah untuk keperluan manusia yg hidup di dunia di kasih allah akal ama manusia buat rumah buat lampu untuk kita hidup di dunia kalau siang di cipta kan allah matahari terag untuk terag seluruh dunia bulan kalau malam menerangi seluruh dunia terag,bukan_cyberbullying
saya heran dengan keristen ini kok bertegang leher mangatakan yesus itu adalah tuhan,ujaran_kebencian
alhamdulilah ya allah terima kasih amin yarobal alamin 77,bukan_cyberbullying
ternyata kristeng itu bukan agama hanya satu organisasi pantesan bisa berkembang menjadi banyak keristen katolik keristen protestan keristen ortodok keristen kapinist keristen armenian keristen ewwee masih banyak lagi,ujaran_kebencian
yesus itu bisa buang kotoran dak kalau bisa buang kotoran berarti tidak sempurna ada kekurangan,ujaran_kebencian
semoga bang zuma berikan kesehatan dan istiqoomah untuk berdakwah dan banyak orang yng mendapat hidayah,bukan_cyberbullying
allah huakbar allah huakbar allah huakbar,bukan_cyberbullying
yg di langit dong,bukan_cyberbullying
ya alloh zuma kamu the best bisa hapal dalil2 ajarannya nabi isa s a w mspon aj ngapal lagu kokoromo tomo sjak sma hgga skarang tk hapal2 mantap lanjut semoga alloh,bukan_cyberbullying
kristen agama agama apa egk jlz,ujaran_kebencian
mantap ustadz zuma lanjut,bukan_cyberbullying
ya allah alhamdulillah team jsk selamat semua turut berduka ya abang2 tetap semangat,bukan_cyberbullying
kasihan terhadap umat terjemahan yaitu kristen karena tidak pernah paham sejarah nabi nabi yang telah diutus oleh allah swt dan semua nani yang diutus oleh allah pasti disertai mukjizat sesuai zamannya dan mukjizat nabi itu akan hilang saat sang nabi sudah wafat berbeda dengan mukjizat yang diberikan kepada rasulullah saw masih tetap ada sampai sekarang walaupun rasulullah saw telah wafat,ujaran_kebencian
allahu akbar semoga allah selalu mudahkan urusan bang juma,bukan_cyberbullying
allah swt,bukan_cyberbullying
nabi isa as nabi,bukan_cyberbullying
alhamdulillah,bukan_cyberbullying
nabi isa tidak pernah mengakui dan mengajarkan kristen nabi isa hanya mengakui bani israel dan mengajar kan untuk mentaati allah sedangkan paulus lah telah menipu kristen,ujaran_kebencian
islam,bukan_cyberbullying
masya allah subhanallah walhamdulillah allah hu akbar,bukan_cyberbullying
assalamualaikum warahmatullahi wabarkatuh ustadz,bukan_cyberbullying
hal ini kesalahan besar pd waktu pencetakan alkitab pertama di indo nesia memakai tex allah karna per cetakan negara waktu itu diatur oleh pemerintah yg oknumnya muslim tpi org kristen tidak masalah kan karna cuma tex dn akhirnya jdi masalah dgn alasan pembenaran saran saya kt allah diganti saja dgn kata gusti dri bhs jawa agar org2 jawa diselamatkan,bukan_cyberbullying
allahuakbar aku menangis mendengar penjelasan bang zuma ampuni dosa hama ya allah,bukan_cyberbullying
tampol dia bang zuma,ancaman_intimidasi
tidak ada rumusnya menyembah kepada manusia yg bernama yesus putra maryam setelah manusia itu dijadikan tuhan lalu tuhannya itu disiksa dibunuh dan digantung ini pasti ajaran iblis yesus adalah nabi utusan yesus adalah manusia seperti kita juga jadi yesus bukan tuhan,ujaran_kebencian
saya bangga denganmu bang zuma,bukan_cyberbullying
orang kristen kekal di neraka karna menuhankan orang yg mati terkutuk digantung di kayu salib,ujaran_kebencian
masya alloh bg zuma otak mu bnr joz subhanalloh moga byk mualaf krn perdebatan yg kau lontarkan moga alloh mulyakn kau dunia ahirat ajak aku di surga nanti ya,bukan_cyberbullying
salut saya bg juma ultra pinter bngt,bukan_cyberbullying
islam tetep mengakui nabi isa lisalahisalam seorang nabi allah,bukan_cyberbullying
soal kematian ad d al qur an perkataan2 allah wajar allah tahu ttg surga neraka siksa kubur krn allah yg menciptakan al qur an bukan perkataan nabi muhammad,bukan_cyberbullying
terus sehat dan terus cerdas bang zuma,bukan_cyberbullying
oten tahunya sorga doang mau berprilaku baik dan buruk semua masuk sorga akalnya di pakai dong manusia itu diciptakan allah paling sempurna tp kalau akalnya mati ya tk ubahnya seperti hewan yg maunya enaknya aja tuk oten jgn malu belajar isi alqur an kalau bisa yg ada terjemahanya,pelecehan_penghinaan
nabi muhammad saw mengalami perjalanan isra mi raj d perlihat kn antara surga dn neraka lengkap semua d perlihat kn,bukan_cyberbullying
mbak kristen yesuss ituu apapun itu 1 milyar triliun prsen ciptaan allohh tuhan nya umat islam prcayalah ke bang zuma ini,ujaran_kebencian
panjangkan umurnya mudahkan reskinya yya raab bang summa semoga sehat selalu amin,bukan_cyberbullying
trimakasih bang zuma channel ini yg akan saya tunjukkan ke teman ku yg kristen trimakasih bang,bukan_cyberbullying
intinya kristen yang ada saat ini adalah pengikut paulus seorang yahudi farisi helenis bukan pengikut yesus yesus mengajarkan yudaisme agama monoteistik yang sudah dipeluk beribu tahun oleh orang yahudi nenek moyang yesus sedangkan kristen adalah agama yang tidak jelas asal usul dan ajarannya bukan kelanjutan dan berasal dari ajaran musa dan yesus,ujaran_kebencian
allahumasholi alamuhammad,bukan_cyberbullying
semoga bamg zuma selalu diberikan nikmat umur dan nikmat sehat serta nikmat reski agar selalu menyampaikan ajaran yang benar dan menyadarkan bagi yang menyimpang ajaran nabi yang diperintahkan oleh allah swt,bukan_cyberbullying
bravo salam satu tuhan,bukan_cyberbullying
kresten sadar yesus manasia jadi tuhan sekalian nabi adam lahir pertama di bumi,ujaran_kebencian
sudah dikasih kebenaran tidak mengerti beruntunglah para mantan pendeta masuk muslim surga sudah di genggam di tanganmu,ujaran_kebencian
sudah dikasih kebenaran tidak mengerti beruntunglah para mantan pendeta masuk muslim surga sudah di genggam di tanganmu,ujaran_kebencian
susahh bang zuma berdebat sama orang nonis sampai mulut kita berbusa tidak bakalan mengerti hatinya sudah di tutup allahswt hanya yng mendapat hidayahnya memeluk muslim,ujaran_kebencian
masya allah,bukan_cyberbullying
